,time,latitude,longitude,depth,mag,id,updated,place,type,horizontalError,depthError,magError,state
213,2021-01-15T06:05:31.450Z,35.6085,-117.4628333,13.46,0.94,ci39757824,2021-01-15T06:09:15.486Z,"18km SSW of Searles Valley, CA",earthquake,0.6,1.25,0.228, CA
214,2021-01-15T06:05:31.560Z,35.6073333,-117.4746667,10.74,0.92,ci39757824,2021-01-15T16:50:25.939Z,"18km E of Ridgecrest, CA",earthquake,0.25,0.49,0.222, CA
215,2021-01-15T06:05:48.010Z,34.0915,-116.8521667,2.88,2.04,ci39757832,2021-01-15T17:13:53.010Z,"18km SSE of Big Bear Lake, CA",earthquake,0.12,0.37,0.134, CA
216,2021-01-15T06:05:48.020Z,34.091,-116.8535,1.7,2.14,ci39757832,2021-01-15T06:16:40.490Z,"18km SSE of Big Bear Lake, CA",earthquake,0.21,0.4,0.159, CA
217,2021-01-15T06:06:49.070Z,33.9594994,-117.0388336,21.47,1.34,ci39757840,2021-01-15T06:10:32.289Z,"3km SSE of Calimesa, CA",earthquake,1.51,3.85,0.35700000000000004, CA
218,2021-01-15T06:06:55.270Z,33.6611667,-116.7185,15.74,0.67,ci39757840,2021-01-15T15:13:11.307Z,"9km S of Idyllwild, CA",earthquake,0.22,0.3,0.131, CA
222,2021-01-15T06:16:44.020Z,37.3596649,-122.1326675,3.99,1.78,nc73511125,2021-01-15T06:25:04.227Z,"2km S of Los Altos Hills, CA",earthquake,0.49,0.86,0.13, CA
223,2021-01-15T06:28:56.530Z,34.092,-116.8525,2.84,1.63,ci39757848,2021-01-15T17:32:11.200Z,"18km SSE of Big Bear Lake, CA",earthquake,0.12,0.43,0.14400000000000002, CA
224,2021-01-15T06:28:56.580Z,34.0925,-116.85366670000002,1.83,1.7,ci39757848,2021-01-15T06:32:43.426Z,"18km SSE of Big Bear Lake, CA",earthquake,0.24,0.42,0.129, CA
228,2021-01-15T07:02:21.940Z,32.802,-115.4551667,9.6,1.68,ci39757856,2021-01-15T17:37:10.659Z,"7km W of Holtville, CA",earthquake,0.43,0.61,0.181, CA
229,2021-01-15T07:02:22.160Z,32.8033333,-115.45716670000002,7.47,1.61,ci39757856,2021-01-15T07:06:32.126Z,"7km W of Holtville, CA",earthquake,0.58,0.82,0.172, CA
230,2021-01-15T07:10:07.810Z,35.6158333,-117.587,12.36,0.68,ci39757864,2021-01-15T07:13:55.869Z,"8km E of Ridgecrest, CA",earthquake,1.09,2.69,0.17, CA
231,2021-01-15T07:10:07.860Z,35.6116667,-117.59166670000002,9.65,0.69,ci39757864,2021-01-15T17:39:46.767Z,"8km E of Ridgecrest, CA",earthquake,0.29,0.7,0.154, CA
232,2021-01-15T07:13:11.310Z,33.2625,-115.78033329999998,2.54,1.01,ci39757872,2021-01-15T07:16:59.055Z,"11km SSW of Bombay Beach, CA",earthquake,1.19,0.78,0.21600000000000005, CA
233,2021-01-15T07:13:14.270Z,33.1853333,-115.5965,2.16,1.3,ci39757872,2021-01-15T17:54:44.844Z,"9km SW of Niland, CA",earthquake,0.3,0.31,0.211, CA
235,2021-01-15T07:16:33.330Z,35.6455,-117.4355,11.31,1.15,ci39757880,2021-01-15T07:20:08.786Z,"14km SSW of Searles Valley, CA",earthquake,0.51,1.36,0.142, CA
236,2021-01-15T07:18:42.050Z,40.2936667,-121.244,5.75,1.28,nc73511135,2021-01-15T17:18:04.957Z,"2km SW of Chester, CA",earthquake,1.33,4.02,0.03, CA
247,2021-01-15T08:25:20.930Z,32.8041667,-115.4545,8.77,1.22,ci39757896,2021-01-15T18:07:10.415Z,"7km W of Holtville, CA",earthquake,0.41,0.72,0.152, CA
248,2021-01-15T08:25:21.020Z,32.8138333,-115.4543333,9.39,1.24,ci39757896,2021-01-15T08:29:08.181Z,"7km W of Holtville, CA",earthquake,0.58,1.24,0.16399999999999998, CA
249,2021-01-15T08:25:32.090Z,32.8091667,-115.4495,8.76,1.21,ci37464197,2021-01-15T18:31:03.553Z,"6km W of Holtville, CA",earthquake,0.45,0.77,0.211, CA
252,2021-01-15T08:30:26.020Z,36.482666,-120.6358337,3.09,1.97,nc73511140,2021-01-15T08:32:05.431Z,"8km NNE of New Idria, CA",earthquake,1.41,3.51,0.16, CA
253,2021-01-15T08:37:26.300Z,37.9101677,-118.5554962,0.28,2.0,nc73511145,2021-01-15T08:42:04.021Z,"40km NNE of Toms Place, CA",earthquake,0.69,6.49,0.15, CA
255,2021-01-15T09:04:21.290Z,32.8468323,-116.6244965,17.21,1.56,ci39757912,2021-01-15T09:06:42.444Z,"9km WNW of Pine Valley, CA",earthquake,0.27,0.47,0.232, CA
256,2021-01-15T09:04:21.360Z,32.8441667,-116.624,16.86,1.4,ci39757912,2021-01-15T09:08:05.509Z,"9km WNW of Pine Valley, CA",earthquake,0.29,0.61,0.232, CA
268,2021-01-15T10:35:18.950Z,35.89633329999999,-117.6843333,4.09,0.37,ci39757928,2021-01-15T14:37:42.101Z,"20km ESE of Little Lake, CA",earthquake,0.19,1.08,0.063, CA
273,2021-01-15T10:46:03.750Z,38.8404999,-122.8106689,0.82,0.57,nc73511155,2021-01-15T11:24:04.937Z,"8km WNW of Cobb, CA",earthquake,0.25,1.17,, CA
274,2021-01-15T10:54:53.150Z,38.8291664,-122.8526688,1.62,0.34,nc73511160,2021-01-15T11:51:05.089Z,"10km NW of The Geysers, CA",earthquake,0.3,0.7,0.24, CA
275,2021-01-15T10:55:49.310Z,40.4674988,-123.7448349,27.85,2.32,nc73511165,2021-01-15T12:06:04.174Z,"31km E of Rio Dell, CA",earthquake,0.53,2.3,0.07, CA
276,2021-01-15T11:00:53.200Z,38.8328323,-122.8083344,1.86,0.56,nc73511170,2021-01-15T12:32:05.431Z,"8km W of Cobb, CA",earthquake,0.32,1.0,, CA
277,2021-01-15T11:01:23.330Z,33.489000000000004,-116.7991667,6.0,0.7,ci39757936,2021-01-15T15:23:51.380Z,"8km NE of Aguanga, CA",earthquake,0.23,0.62,0.14800000000000002, CA
278,2021-01-15T11:04:10.600Z,34.658666700000005,-116.29583329999998,3.16,1.65,ci39757944,2021-01-15T11:07:54.195Z,"14km WSW of Ludlow, CA",earthquake,0.53,2.02,0.15, CA
284,2021-01-15T11:32:36.310Z,36.139,-117.8376667,2.89,0.85,ci39757952,2021-01-15T11:36:10.668Z,"14km NE of Coso Junction, CA",earthquake,0.93,0.54,0.16899999999999998, CA
285,2021-01-15T11:33:57.190Z,35.8668333,-117.70283329999998,7.01,0.91,ci39757960,2021-01-15T11:37:29.177Z,"20km ESE of Little Lake, CA",earthquake,0.48,1.11,0.237, CA
286,2021-01-15T11:36:30.650Z,35.6876667,-117.5356667,6.67,1.4,ci39757968,2021-01-15T14:35:48.630Z,"15km ENE of Ridgecrest, CA",earthquake,0.28,0.86,0.199, CA
288,2021-01-15T11:59:32.930Z,34.2885,-117.12283329999998,4.39,1.44,ci39757976,2021-01-15T14:35:01.998Z,"8km NE of Lake Arrowhead, CA",earthquake,0.28,2.8,0.194, CA
289,2021-01-15T12:00:35.900Z,38.7873344,-122.7679977,1.8,1.22,nc73511175,2021-01-15T12:58:04.451Z,"2km NW of The Geysers, CA",earthquake,0.25,0.39,0.1, CA
294,2021-01-15T12:27:03.700Z,32.751999999999995,-115.8273333,5.68,1.59,ci39757984,2021-01-15T12:37:40.250Z,"16km E of Ocotillo, CA",earthquake,0.46,1.42,0.157, CA
301,2021-01-15T12:55:42.820Z,34.0245,-117.21366670000002,8.85,1.07,ci39757992,2021-01-15T12:59:28.655Z,"4km SW of Redlands, CA",earthquake,0.23,0.73,0.249, CA
304,2021-01-15T13:00:45.390Z,38.7965012,-122.7348328,0.62,0.64,nc73511185,2021-01-15T13:54:03.763Z,"3km NE of The Geysers, CA",earthquake,0.33,0.6,0.07, CA
305,2021-01-15T13:05:43.230Z,35.6145,-117.4105,10.15,0.87,ci39758000,2021-01-15T13:09:16.908Z,"17km S of Trona, CA",earthquake,0.63,1.21,0.136, CA
312,2021-01-15T13:29:13.370Z,33.3503333,-116.2381667,10.78,0.99,ci39758016,2021-01-15T13:32:59.225Z,"16km NE of Borrego Springs, CA",earthquake,0.32,0.74,0.161, CA
